"Reference","Qty","Value","Footprint","Description"
".1","1","~","Library:SOT-223-4",""
"C1,C2","2","10uF,0603","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","Unpolarized capacitor"
"C3,C4","2","15pF,0402","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor"
"C5,C8","2","1uF,0603","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","Unpolarized capacitor"
"C6,C7,C9,C10,C11,C12,C13,C14,C15,C16","10","100nF,0402","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor"
"D1","1","green-3020","Library:LED-3020","Light emitting diode"
"J1","1","USB_B_Micro","Library:USB3131-30-0230-A","USB Micro Type B connector"
"J3","1","2.54x2","Library:CONN-2.54X2","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J4,J5","2","Conn_01x21","Library:CONN-2X21","Generic connector, single row, 01x21, script generated (kicad-library-utils/schlib/autogen/connector/)"
"R1","1","2K2,1206","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol"
"R2,R3","2","27E,0402","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, US symbol"
"R4,R6,R7","3","1k,0402","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, US symbol"
"R5","1","10k,0402","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, US symbol"
"SW1","1","SW_SPST","Library:TACT-SW-3X4X2","Single Pole Single Throw (SPST) switch"
"U2","1","RP2040","Library:QFN-56","A microcontroller by Raspberry Pi"
"U3","1","W25Q128JVS","Library:SOIC-8-208mil","128Mbit / 16MiB Serial Flash Memory, Standard/Dual/Quad SPI, 2.7-3.6V, SOIC-8"
"Y1","1","Crystal_GND24_Small","Library:CRYSTAL-ABM8","Four pin crystal, GND on pins 2 and 4, small symbol"
